bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction
SNB,Andréa M. Maechler,2022-06-16,DOC_6229C652421E,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler,2022-09-22,DOC_64FB75437D67,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler,2022-12-15,DOC_F5DC349BFAC0,0.0,0.0,0.0,0.0,0.0,stable
SNB,Andréa M. Maechler,2023-03-23,DOC_D145F1C5AC14,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler,2023-06-22,DOC_40CBCA9B213B,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler / Thomas Moser,2021-04-15,DOC_C23F906CDBC8,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler / Thomas Moser,2021-11-11,DOC_22D8740236EB,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler / Thomas Moser,2022-03-31,DOC_9EE758D8F919,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler / Thomas Moser,2022-11-17,DOC_50D23A5A8220,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler / Thomas Moser,2023-03-30,DOC_2B3BB25C0882,0.0,0.0,0.0,,,stable
SNB,Antoine Martin,2024-03-21,DOC_A596B30D8827,0.0,0.0,0.0,,,stable
SNB,Antoine Martin,2024-06-20,DOC_D9321B78058D,0.0,0.0,0.0,,,stable
SNB,Antoine Martin,2024-09-26,DOC_59BEB5BD708D,0.0,0.0,0.0,,,stable
SNB,Antoine Martin,2025-04-29,DOC_B5B2C7066D8D,0.0,0.0,0.0,,,stable
SNB,Antoine Martin,2025-11-12,DOC_A8C9DA6F124E,0.0,0.0,0.0,,,stable
SNB,Antoine Martin / Thomas Moser,2024-04-18,DOC_CACC1C05FC08,0.0,0.0,0.0,,,stable
SNB,Barbara Janom Steiner,2021-04-30,DOC_9418C78AC2D6,0.0,0.0,0.0,,,stable
SNB,Barbara Janom Steiner,2022-04-29,DOC_88846CF4BDB1,0.0,0.0,0.0,,,stable
SNB,Barbara Janom Steiner,2023-04-28,DOC_6171FB859A4B,0.0,0.0,0.0,,,stable
SNB,Barbara Janom Steiner,2024-04-26,DOC_537FBC7DAAF3,0.0,0.0,0.0,,,stable
SNB,Barbara Janom Steiner,2025-04-25,DOC_A87B880E8415,0.0,0.0,0.0,,,stable
SNB,Fritz Zurbrügg,2021-06-17,DOC_8B534F91AA42,0.0,0.0,0.0,,,stable
SNB,Fritz Zurbrügg,2021-08-31,DOC_8AC842E3C8D0,0.0,0.0,0.0,0.0,0.0,stable
SNB,Fritz Zurbrügg,2021-12-16,DOC_8A06AF0D723C,0.0,0.0,0.0,,,stable
SNB,Fritz Zurbrügg,2022-03-29,DOC_0AEE934A78F7,0.0,0.0,0.0,,,stable
SNB,Fritz Zurbrügg,2022-06-16,DOC_2E94C9E6A2A7,0.0,0.0,0.0,0.0,0.0,stable
SNB,Martin Schlegel,2022-09-22,DOC_92FCC5BFD52D,0.0,0.0,0.0,,,stable
SNB,Martin Schlegel,2022-11-29,DOC_F7E6EDFCBF53,0.0,0.0,0.0,0.0,0.0,stable
SNB,Martin Schlegel,2022-12-15,DOC_25E55B0731DD,0.0,0.0,0.0,0.0,0.0,stable
SNB,Martin Schlegel,2023-11-09,DOC_E6BC334D2685,0.0,0.0,0.0,,,stable
